Metric,Value
PnL,-81536
Cummulated Return,-16.31%
Annualized Return,-14.24%
Annualized Volatility,7.66%
Sharpe Ratio,-1.966
Sortino Ratio,-2.073
Max Drawdown,18.81%
Max DD Duration,245 days
BuyHold PnL,74954
BuyHold Cummulated Return,14.99%
BuyHold Annualized Return,12.81%
BuyHold Annualized Volatility,13.61%
BuyHold Sharpe Ratio,0.954
BuyHold Sortino Ratio,1.268
BuyHold Max Drawdown,10.04%
BuyHold Max DD Duration,16 days
